"entity_id","prod_sku","prod_libelle","sd_code_sogge","sd_marque","sd_volume","sd_conditionnement","rpd_grouping_code","rpd_libelle","semantic"
"68309","c10-1200049948","PAGO NECTAR ANANAS 33CL PET X12","84sogge-1366","PAGO","33CL","PET","94sogge-232","PAGO NECTAR ANANAS 33CL PET X12"," marque:pago   extra:nectar   parfum:ananas   cont:33cl   cond:pet     col:12"
"84184","fb-108683","PAGO NECTAR ANANAS           12X20CL","84sogge-1367","PAGO","20CL","BTL","94sogge-482","PAGO NECTAR ANANAS           12X20CL"," marque:pago   extra:nectar   parfum:ananas               cont:20cl  col:12"
"82231","mp-160452","PAGO NECTAR ANANAS 12X20CL","84sogge-1367","PAGO","33CL","PET","94sogge-482","PAGO NECTAR ANANAS 12X20CL"," marque:pago   extra:nectar   parfum:ananas     cont:20cl  col:12"
"68308","c10-1100005730","PAGO NECTAR ANANAS 20CL VP X12","84sogge-1367","PAGO","20CL","BTL","94sogge-482","PAGO NECTAR ANANAS 20CL VP X12"," marque:pago   extra:nectar   parfum:ananas   cont:20cl   cond:vp     col:12"
"68276","c10-1100002781","PAGO ABC TROPICAL MULTIVIT 1L PET X6","84sogge-1458","PAGO","1L","PET","","",""
"82191","mp-130121","PAGO COCKTAIL TROPICAL 1 L X 6","84sogge-1458","PAGO","1L","PET","","",""
"68288","c10-1100000797","PAGO CITRON CITRON VERT 20CL VP X24","84sogge-1508","PAGO","20CL","BTL","94sogge-6","PAGO CITRON CITRON VERT 20CL VP X24"," marque:pago   parfum: parfum:citron    parfum: parfum:citron vert   cont:20cl   cond:vp     col:24"
"82251","mp-260091","PAGO CITRON CITRON VERT24X20CL","84sogge-1508","PAGO","20CL","BTL","94sogge-6","PAGO CITRON CITRON VERT24X20CL"," marque:pago   parfum: parfum:citron    parfum: parfum:citron vert    cont:20cl  col:24"
"84192","fb-111980","PAGO ORANGES PRESSEES            12X20CL","84sogge-1539","PAGO","20CL","BTL","94sogge-53","PAGO ORANGES PRESSEES            12X20CL"," marque:pago   parfum:orange   extra:pressee                cont:20cl  col:12"
"68335","c10-1100006064","PAGO PJ ORANGE PRESSEE 20CL VP X12","84sogge-1539","PAGO","20CL","BTL","94sogge-53","PAGO PJ ORANGE PRESSEE 20CL VP X12"," marque:pago   extra:jus   parfum:orange   extra:pressee   cont:20cl   cond:vp     col:12"
"68302","c10-1100001554","PAGO FRAMBOISE AGRUMES 20CL VP X24","84sogge-1543","PAGO","20CL","BTL","94sogge-339","PAGO FRAMBOISE AGRUMES 20CL VP X24"," marque:pago   parfum:framboise   parfum:agrume   cont:20cl   cond:vp     col:24"
"82250","mp-33207","PAGO FRAMBOISE&AGRUMES 24X20CL","84sogge-1543","PAGO","20CL","BTL","94sogge-339","PAGO FRAMBOISE&AGRUMES 24X20CL"," marque:pago   parfum:framboise & parfum:agrume     cont:20cl  col:24"
"68337","c10-1100002593","PAGO PJ POMME PRESSEE 20CL VP X24","84sogge-1594","PAGO","20CL","BTL","94sogge-71","PAGO PJ POMME PRESSEE 20CL VP X24"," marque:pago   extra:jus   parfum:pomme   extra:pressee   cont:20cl   cond:vp     col:24"
"82240","mp-2967","PAGO POMME PRESSEE 24 X20CL","84sogge-1594","PAGO","20CL","BTL","94sogge-71","PAGO POMME PRESSEE 24 X20CL"," marque:pago   parfum:pomme   extra:pressee     cont:20cl  col:24"
"84179","fb-99469","PAGO JUS POMMES PRESSEES        12X20CL","84sogge-1613","PAGO","20CL","BTL","94sogge-59","PAGO JUS POMMES PRESSEES        12X20CL"," marque:pago   extra:jus   parfum:pomme   extra:pressee            cont:20cl  col:12"
"68336","c10-1100002418","PAGO PJ POMME PRESSEE 20CL VP X12","84sogge-1613","PAGO","20CL","BTL","94sogge-59","PAGO PJ POMME PRESSEE 20CL VP X12"," marque:pago   extra:jus   parfum:pomme   extra:pressee   cont:20cl   cond:vp     col:12"
"82225","mp-120825","PAGO POMME PRESSEE 12 X20CL","84sogge-1613","PAGO","20CL","BTL","","",""
"82249","mp-22509","PAGO CITRON  MANDARINE 24X20CL","84sogge-1618","PAGO","20CL","BTL","94sogge-590","PAGO CITRON  MANDARINE 24X20CL","PAGO  parfum:citron    marque:mandarin E    cont:20cl  col:24"
"68290","c10-1100000951","PAGO CITRON MANDARINE 20CL VP X24","84sogge-1618","PAGO","20CL","BTL","94sogge-590","PAGO CITRON MANDARINE 20CL VP X24","PAGO  parfum:citron   marque:mandarin E  cont:20cl   cond:vp     col:24"
"68263","c10-1100002128","PAGO ABC ORANGE BIO 33CL PET X12","84sogge-1675","PAGO","33CL","PET","94sogge-105","PAGO ABC ORANGE BIO 33CL PET X12"," marque:pago   extra:abc   parfum:orange   extra:bio   cont:33cl   cond:pet     col:12"
"82208","mp-120740","PAGO BIO ORANGE 12X33CL","84sogge-1675","PAGO","33CL","PET","94sogge-105","PAGO BIO ORANGE 12X33CL"," marque:pago   extra:bio   parfum:orange     cont:33cl  col:12"
"82213","mp-22908","PAGO  COCO 12 X 20 CL","84sogge-1739","PAGO","20CL","BTL","","",""
"68291","c10-1100001015","PAGO COCO ET FRUITS 20CL VP X12","84sogge-1739","PAGO","20CL","BTL","","",""
