entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
83877,fb-112914,FUZETEA PECHE GOURMANDE IVP 24X25CL,84sogge-1523,FUZE TEA,BTL,25CL,COCA COLA ENTREPRISE,
36338,c10-1100007570,FUZE TEA PECHE INTENSE 25CL VP X24,84sogge-1523,FUZE TEA,BTL,25CL,COCA COLA ENTREPRISE,
36336,c10-1100007784,FUZE TEA PECHE 33CL BTE SLIM X24,84sogge-1689,FUZE TEA,BTE,33CL,COCA COLA ENTREPRISE,
83726,fb-112945,FUZETEA PECHE GOURMANDE SLIM BTE 24X33CL,84sogge-1689,FUZE TEA,BTE,33CL,COCA COLA ENTREPRISE,
36337,c10-1100007794,FUZE TEA PECHE BIB 5L,84sogge-1999,FUZE TEA,BIB,5L,COCA COLA ENTREPRISE,
83697,fb-112947,FUZETEA PECHE GOURMANDE           BIB 5L,84sogge-1999,FUZE TEA,BIB,5L,COCA COLA ENTREPRISE,
36339,c10-1100007783,FUZE TEA PECHE INTENSE 40CL PET X12,84sogge-715,FUZE TEA,BTL,40CL,COCA COLA ENTREPRISE,
83934,fb-112949,FUZETEA PECHE GOURMANDE      PET 12X40CL,84sogge-715,FUZE TEA,BTL,40CL,COCA COLA ENTREPRISE,
83935,fb-112950,FUZETEA TH.VERT MANG.CAMOMIL PET 12X40CL,87sogge-44,FUZE TEA,BTL,40CL,COCA COLA ENTREPRISE,
36334,c10-1100007786,FUZE TEA MANGUE HARMONY 40CL PET X12,87sogge-44,FUZE TEA,BTL,40CL,COCA COLA ENTREPRISE,
36343,c10-1100001784,GLACEAU MULTI-V 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36341,c10-1100001783,GLACEAU ESSENTIAL 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36344,c10-1200007194,GLACEAU POWER C 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36340,c10-1100001782,GLACEAU D-FENCE 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
36342,c10-1100001781,GLACEAU IGNITE 50CL PET X12,,GLACEAU,PET,50CL,COCA COLA ENTREPRISE,
